cfg,label,reason,traceback
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\15. RECLOSE BANJAR - PANGANDARAN 1 (24 FEB 2024)_PETIR\DFR Internal Bay Pangandaran 1\RECLOSE PDRN 1 240223\Saturday 24 February 2024 16.46.44.000.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\16. RECLOSE SUKSES SUTT 70 KV SUMADRA-PAMEUNGPEUK #1-2 (29 FEB 2024)_PETIR\RELAY DISTANCE\GI PMPEK BAY SMDRA 1\Thursday 29 February 2024 15.07.20.000.CFG,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\16. RECLOSE SUKSES SUTT 70 KV SUMADRA-PAMEUNGPEUK #1-2 (29 FEB 2024)_PETIR\RELAY DISTANCE\GI SMDRA BAY PMPEK 1\Thursday 29 February 2024 14.07.21.000.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\02. FEBRUARI\16. RECLOSE SUKSES SUTT 70 KV SUMADRA-PAMEUNGPEUK #1-2 (29 FEB 2024)_PETIR\RELAY DISTANCE\GI SMDRA BAY PMPEK 2\Thursday 29 February 2024 14.26.34.001.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\03. MARET\01 - RECLOSE SUKSES SUTT 70 KV SUMADRA-PAMEUNGPEUK #2 (07 MARET 2024)_PETIR\DFR EKSTERNAL\ZQ1E.cfg,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\03. MARET\01 - RECLOSE SUKSES SUTT 70 KV SUMADRA-PAMEUNGPEUK #2 (07 MARET 2024)_PETIR\RELAY DISTANCE\GI SUMADRA BAY PMPEK #2\Thursday 07 March 2024 12.41.09.000.CFG,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\04. APRIL\06042024_GI KADIPATEN_BAY ARJAWIANGUN #1-2_PETIR\REKAMAN DFR\GI ARJAWINANGUN\PHT 1\KDPTN-1\20240406_133827_729_r178.cfg,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\04. APRIL\08042024_GI SUNYARAGI_BAY KUNINGAN#1_PETIR\REKAMAN DFR\GI KUNINGAN\SRAGI-1 GI Kuningan\20240408_191051_385_r114.cfg,PETIR,'DistanceFeatures' object has no attribute 'fault_duration_ms',"s\36. DFR GANGGUAN UIT JBT\pipeline\batch_extract.py"", line 147, in flatten_features
    d[""duration_ok""] = feat.fault_duration_ms >= 5.0
                       ^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DistanceFeatures' object has no attribute 'fault_duration_ms'. Did you mean: 'record_duration_ms'?
"
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\04. APRIL\25042024_GI SUMADRA_BAY PAMEUNGPEUK #1_PETIR\DFR EKSTERNAL\GI PAMEUNGPEUK\ZQ20.cfg,PETIR,protection=UNKNOWN,
C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT CIREBON\2024\04. APRIL\25042024_GI SUMADRA_BAY PAMEUNGPEUK #1_PETIR\DFR EKSTERNAL\GI SUMADRA\ZQ1F.cfg,PETIR,protection=UNKNOWN,
